,cluster
0,3
1,13
2,0
3,2
4,3
5,5
6,4
7,0
8,12
9,12
10,15
11,4
12,14
13,4
14,10
15,13
16,5
17,12
18,4
19,6
20,4
21,3
22,14
23,13
24,0
25,3
26,3
27,4
28,12
29,12
30,5
31,11
32,11
33,4
34,9
35,4
36,13
37,9
38,4
39,16
40,2
41,13
42,12
43,9
44,11
45,3
46,6
47,4
48,3
49,6
50,12
51,15
52,0
53,6
54,1
55,5
56,5
57,5
58,5
59,12
60,7
61,4
62,7
63,5
64,6
65,1
66,4
67,13
68,15
69,4
70,10
71,0
72,4
73,11
74,12
75,8
76,4
77,2
78,11
79,13
80,15
81,7
82,4
83,7
84,3
85,4
86,5
87,7
88,2
89,11
90,11
91,12
92,16
93,7
94,0
95,4
96,7
97,13
98,11
99,15
100,13
101,13
102,13
103,3
104,14
105,9
106,3
107,9
108,4
109,16
110,0
111,13
112,5
113,14
114,12
115,11
116,7
117,4
118,12
119,12
120,10
121,12
122,12
123,15
124,3
125,11
126,15
127,15
128,12
129,9
130,15
131,12
132,15
133,6
134,13
135,15
136,8
137,3
138,12
139,11
140,12
141,4
142,13
143,5
144,11
145,9
146,15
147,15
148,1
149,12
150,13
151,7
152,15
153,4
154,16
155,11
156,5
157,4
158,12
159,14
160,13
161,0
162,12
163,5
164,5
165,3
166,7
167,12
168,5
169,16
170,11
171,4
172,14
173,12
174,10
175,11
176,2
177,15
178,1
179,11
180,13
181,16
182,13
183,3
184,7
185,4
186,13
187,3
188,1
189,13
190,4
191,10
192,1
193,4
194,5
195,13
196,5
197,7
198,6
199,2
200,2
201,16
202,2
203,12
204,4
205,7
206,0
207,3
208,12
209,13
210,11
211,5
212,16
213,11
214,3
215,16
216,11
217,4
218,4
219,3
220,3
221,15
222,11
223,7
224,3
225,4
226,16
227,9
228,8
229,15
230,7
231,11
232,13
233,3
234,4
235,13
236,3
237,7
238,4
239,7
240,7
241,12
242,13
243,12
244,12
245,13
246,0
247,14
248,14
249,12
250,4
251,2
252,12
253,11
254,8
255,8
256,11
257,12
258,5
259,5
260,4
261,12
262,5
263,13
264,2
265,14
266,11
267,2
268,1
269,4
270,3
271,15
272,4
273,13
274,4
275,5
276,10
277,3
278,4
279,13
280,10
281,2
282,15
283,12
284,16
285,3
286,14
287,7
288,5
289,14
290,11
291,5
292,5
293,3
294,13
295,6
296,16
297,16
298,10
299,5
300,4
301,12
302,11
303,2
304,5
305,2
306,7
307,4
308,12
309,7
310,7
311,11
312,12
313,14
314,2
315,14
316,5
317,12
318,14
319,11
320,12
321,15
322,3
323,7
324,15
325,7
326,4
327,12
328,5
329,6
330,13
331,7
332,4
333,7
334,12
335,11
336,4
337,11
338,4
339,7
340,14
341,14
342,14
343,7
344,3
345,6
346,12
347,14
348,15
349,7
350,16
351,0
352,4
353,4
354,7
355,4
356,14
357,11
358,13
359,7
360,3
361,15
362,4
363,4
364,4
365,3
366,3
367,16
368,5
369,3
370,4
371,13
372,13
373,8
374,7
375,9
376,6
377,4
378,13
381,9
383,4
384,13
385,12
386,15
387,12
388,4
389,13
390,3
391,16
392,4
393,12
394,4
395,4
396,4
397,13
398,12
399,4
400,8
401,4
402,14
403,4
404,4
405,13
406,6
407,1
408,4
409,10
410,1
411,5
412,13
413,6
414,4
415,13
416,7
417,7
418,4
419,7
420,3
421,13
422,4
423,3
424,16
425,0
426,10
427,5
428,4
429,4
430,14
431,15
432,3
433,13
434,4
435,14
436,1
437,4
438,7
439,4
440,12
441,10
442,16
443,6
444,4
445,13
446,4
447,5
448,7
449,5
450,7
451,6
452,6
453,4
454,11
455,1
456,5
457,5
458,15
459,13
460,12
461,11
462,4
463,14
464,1
465,13
466,5
467,0
468,5
469,4
470,5
471,3
472,0
473,15
474,4
475,1
476,7
477,1
478,0
479,15
480,8
481,13
482,12
483,6
484,4
485,4
486,12
487,3
488,1
489,12
490,4
491,10
492,11
493,6
494,15
495,15
496,15
497,11
498,15
499,10
500,12
501,6
502,10
503,5
504,14
505,16
506,0
507,4
508,13
509,15
510,8
511,14
512,6
513,4
514,6
515,12
516,7
517,13
518,3
519,2
520,8
521,12
522,3
523,11
524,15
525,3
526,3
527,2
528,13
529,14
530,3
531,3
532,4
533,11
534,11
535,0
536,4
537,14
538,0
539,5
540,14
541,11
542,14
543,16
544,3
545,15
546,0
547,15
548,12
549,4
550,8
551,12
552,6
553,16
554,8
555,13
556,8
557,4
558,11
559,5
560,5
561,0
562,0
563,13
564,14
565,12
566,4
567,16
568,11
569,11
570,4
571,14
572,13
573,6
574,15
575,3
576,5
577,1
578,10
579,4
580,2
581,14
582,13
583,1
584,7
585,3
586,0
587,4
588,7
589,12
590,4
591,8
592,7
593,10
594,8
595,5
596,5
597,9
598,12
599,14
600,4
601,13
602,15
603,8
604,15
605,12
606,15
607,3
608,12
609,0
610,2
611,7
612,3
613,13
614,14
615,0
616,4
617,5
618,0
619,8
620,12
621,11
622,3
623,5
624,16
625,6
626,16
627,5
628,5
629,0
630,5
631,14
632,12
633,13
634,10
635,13
636,12
637,5
638,7
639,5
640,0
641,0
642,11
643,5
644,6
645,8
646,6
647,14
648,13
649,10
650,13
651,0
652,3
653,5
654,4
655,4
656,5
657,14
658,10
659,7
660,13
661,2
662,11
663,2
664,3
665,10
666,12
667,8
668,11
669,3
670,4
671,3
672,2
673,1
674,5
675,3
676,11
677,5
678,4
679,12
680,12
681,4
682,0
683,9
684,13
685,1
686,4
687,15
688,9
689,9
690,5
691,6
692,9
693,8
694,6
695,7
696,1
697,5
698,7
699,15
700,11
701,12
702,11
703,4
704,5
705,3
706,6
707,4
708,4
709,7
710,4
711,12
712,4
713,13
714,15
715,13
716,5
717,11
718,7
719,13
720,5
721,16
722,8
723,10
724,4
725,10
726,0
727,7
728,10
729,4
730,4
731,7
732,4
733,1
734,3
735,4
736,3
737,16
738,13
739,7
740,11
741,14
742,4
743,9
744,2
745,12
746,13
747,9
748,11
749,5
750,12
751,2
752,14
753,13
755,6
756,12
757,13
758,8
759,15
760,14
761,13
762,12
763,14
764,12
765,13
766,4
767,3
768,13
769,5
770,12
771,5
772,2
773,10
774,15
775,11
776,16
777,12
778,12
779,8
780,16
781,5
782,15
783,7
784,14
785,8
786,2
787,2
788,4
789,0
790,4
791,0
792,13
793,5
794,5
795,3
796,7
797,6
798,16
799,2
800,12
801,5
802,12
803,4
804,13
805,14
806,13
807,8
808,3
809,4
810,4
811,3
812,16
813,7
814,5
815,4
816,6
817,4
818,13
819,3
820,0
821,5
822,12
823,8
824,7
825,14
826,3
827,12
828,12
829,0
830,3
831,10
832,3
833,8
834,3
835,12
836,0
837,12
838,13
839,12
840,10
841,4
842,7
843,7
844,12
845,6
846,1
847,8
848,13
849,15
850,1
851,14
852,4
853,8
854,4
855,12
856,8
857,1
858,2
859,1
860,5
861,16
862,1
863,9
864,8
865,13
866,3
867,5
868,5
869,13
870,13
871,5
872,7
873,16
874,12
875,5
876,9
877,15
878,13
879,10
880,5
881,13
882,13
883,0
884,8
885,2
886,1
887,3
888,3
889,4
890,16
891,8
892,13
893,2
894,13
895,2
896,2
897,13
898,11
899,11
900,6
901,2
902,7
903,3
904,13
905,4
906,6
907,15
908,4
909,8
910,2
911,11
912,14
913,3
914,11
915,4
916,8
917,4
918,13
919,4
920,7
921,13
922,4
923,3
924,5
925,13
926,12
927,2
928,12
929,5
930,15
931,3
932,5
933,13
934,6
935,4
936,7
937,3
938,14
939,14
940,11
941,13
942,6
943,12
944,0
945,14
946,6
947,5
948,12
949,14
950,5
951,13
952,8
953,2
954,15
955,4
956,0
957,16
958,4
959,11
960,11
961,5
962,2
963,16
964,15
965,9
966,1
967,12
968,10
969,3
970,11
971,11
972,6
973,5
974,4
975,7
976,13
977,12
978,2
979,4
980,2
981,16
982,11
983,15
984,7
985,14
986,15
987,6
988,10
989,6
990,14
991,11
992,8
993,8
994,8
995,10
996,3
997,2
998,14
999,11
1000,4
1001,12
1002,4
1003,2
1004,12
1005,5
1006,12
1007,14
1008,2
1009,12
1010,2
1011,0
1012,13
1013,5
1014,13
1015,5
1016,0
1017,12
1018,0
1019,2
1020,7
1021,6
1022,16
1023,15
1024,11
1025,14
1026,11
1027,8
1028,6
1029,3
1030,6
1031,14
1032,8
1033,2
1034,16
1035,11
1036,14
1037,14
1038,13
1039,7
1040,11
1041,2
1042,5
1043,3
1044,12
1045,2
1046,14
1047,5
1048,10
1049,5
1050,4
1051,7
1052,11
1053,15
1054,12
1055,7
1056,3
1057,14
1058,13
1059,1
1060,3
1061,4
1062,5
1063,12
1064,9
1065,16
1066,5
1067,0
1068,15
1069,13
1070,0
1071,10
1072,4
1073,13
1074,1
1075,13
1076,0
1077,4
1078,2
1079,7
1080,1
1081,15
1082,6
1083,1
1084,14
1085,1
1086,13
1087,10
1088,5
1089,12
1090,6
1091,6
1092,2
1093,3
1094,3
1095,5
1096,5
1097,12
1098,13
1099,12
1100,11
1101,14
1102,4
1103,0
1104,4
1105,15
1106,4
1107,13
1108,16
1109,13
1110,6
1111,14
1112,9
1113,8
1114,0
1115,1
1116,12
1117,7
1118,13
1119,1
1120,1
1121,15
1122,15
1123,3
1124,16
1125,8
1126,5
1127,15
1128,5
1129,7
1130,2
1131,16
1132,8
1133,5
1134,4
1135,3
1136,10
1137,8
1138,5
1139,7
1140,8
1141,6
1142,7
1143,10
1144,4
1145,8
1146,8
1147,11
1148,11
1149,13
1150,13
1151,13
1152,11
1153,11
1154,2
1155,10
1156,7
1157,3
1158,15
1159,13
1160,9
1161,10
1162,10
1163,12
1164,1
1165,6
1166,11
1167,4
1168,4
1169,13
1170,5
1171,10
1172,0
1173,11
1174,8
1175,2
1176,2
1177,5
1178,11
1179,5
1180,14
1181,5
1182,11
1183,13
1184,11
1185,11
1186,14
1187,8
1188,4
1189,13
1190,10
1191,12
1192,2
1193,2
1194,0
1195,5
1196,11
1197,9
1198,7
1199,14
1200,14
1201,5
1202,13
1203,5
1204,3
1205,16
1206,3
1207,7
1208,5
1209,5
1210,7
1211,12
1212,2
1213,5
1214,13
1215,4
1216,4
1217,4
1218,15
1219,8
1220,10
1221,3
1222,0
1223,6
1224,5
1225,12
1226,3
1227,10
1228,13
1229,1
1230,3
1231,9
1232,10
1233,14
1234,10
1235,14
1236,10
1237,0
1238,0
1239,3
1240,10
1241,10
1242,12
1243,10
1244,15
1245,3
1246,10
1247,15
1248,10
1249,1
1250,1
1251,4
1252,14
1253,2
1254,3
1255,10
1256,4
1257,10
1258,8
1259,7
1260,8
1261,13
1262,6
1263,0
1264,3
1265,8
1266,8
1267,3
1268,3
1269,8
1270,7
1271,15
1272,10
1273,15
1274,10
1275,6
1276,10
1277,10
1278,15
1279,14
1280,15
1281,10
1282,7
1283,10
1284,10
1285,0
1286,7
1287,10
1288,4
1289,3
1290,8
1291,3
1292,4
1293,1
1294,10
1295,14
1296,6
1297,15
1298,13
1299,13
1300,1
1301,8
1302,14
1303,10
1304,3
1305,15
1306,14
1307,14
1308,9
1309,15
1310,6
1311,11
1312,11
1313,9
1314,4
1315,9
1316,9
1317,10
1318,14
1319,10
1320,10
1321,15
1322,8
1323,10
1324,3
1325,10
1326,12
1327,0
1328,6
1329,2
1330,5
1331,9
1332,3
1333,11
1334,14
1335,4
1336,15
1337,3
1338,10
1339,10
1340,10
1341,3
1342,14
1343,10
1344,10
1345,12
1346,8
1347,7
1348,15
1349,7
1350,8
1351,13
1352,7
1353,16
1354,10
1355,14
1356,10
1357,8
1358,10
1359,8
1360,1
1361,10
1362,8
1363,10
1364,9
1365,16
1366,10
1367,12
1368,1
1369,10
1370,4
1371,3
1372,7
1373,12
1374,10
1375,9
1376,10
1377,10
1378,10
1379,10
1380,12
1381,10
1382,1
1383,0
1384,12
1385,14
1386,0
1387,10
1388,9
1389,3
1390,14
1391,10
1392,9
1393,14
1394,3
1395,0
1396,2
1397,4
1398,13
1399,14
1400,9
1401,3
1402,10
1403,15
1404,10
1405,8
1406,7
1407,9
1408,6
1409,10
1410,11
1411,7
1412,7
1413,15
1414,4
1415,13
1416,6
1417,8
1418,15
1419,11
1420,5
1421,5
1422,1
1423,15
1424,1
1425,10
1426,14
1427,4
1428,0
1429,12
1430,5
1431,7
1432,10
1433,8
1434,4
1435,13
1436,8
1437,15
1438,12
1439,11
1440,15
1441,9
1442,1
1443,0
1444,9
1445,9
1446,15
1447,0
1448,16
1449,9
1450,7
1451,13
1452,3
1453,1
1454,0
1455,4
1456,8
1457,0
1458,12
1459,13
1460,12
1461,1
1462,14
1463,6
1464,0
1465,14
1466,0
1467,9
1468,14
1469,13
1470,14
1471,1
1472,7
1473,1
1474,13
1475,6
1476,13
1477,4
1478,6
1479,14
1480,5
1481,8
1482,4
1483,1
1484,4
1485,13
1486,6
1487,4
1488,1
1489,9
1490,13
1491,6
1492,1
1493,7
1494,4
1495,14
1496,9
1497,13
1498,6
1499,4
1500,6
1501,10
1502,10
1503,5
1504,10
1505,3
1506,3
1507,9
1508,9
1509,10
1510,0
1511,0
1512,9
1513,9
1514,9
1515,9
1516,10
1517,7
1518,7
1519,9
1520,5
1521,0
1522,0
1523,10
1524,6
1525,5
1526,7
1527,10
1528,4
1529,8
1530,3
1531,10
1532,4
1533,7
1534,15
1535,0
1536,0
1537,9
1538,6
1539,7
1540,8
1541,4
1542,6
1543,0
1544,0
1545,10
1546,10
1547,8
1548,0
1549,7
1550,10
1551,14
1552,15
1553,10
1554,8
1555,12
