,name
0,Airbus
1,A300
2,A300-600ST
3,A318
4,A319
5,A320
6,A320-100
7,A320-200
8,A320neo
9,A321
10,A321-100
11,A321-200
12,A330
13,A330-200
14,A330-200F
15,A330-300
16,A330-500
17,A340
18,A340-200
19,A340-300
20,A340-500
21,A340-600
22,A350
23,A350-900
24,A350-1000
25,A380
26,A380-800
27,A220
28,A220-300
29,A319neo
30,A321neo
31,A330neo
32,Boeing
33,717
34,727
35,737-
36,737-200
37,737-300
38,737-400
39,737-500
40,737-600
41,737-700
42,737-700ER
43,737-800
44,737-900
45,737-900ER
46,747
47,747-200
48,747-400
49,747-8
50,757
51,757-200
52,757-300
53,767
54,767-200
55,767-300
56,767-300ER
57,767-400ER
58,777
59,787
60,247
61,307
62,707
63,797
64,CRJ
65,CRJ-100
66,CRJ-200
67,CRJ-700
68,CRJ-705
69,CRJ-900
70,CRJ-1000
71,CS200
72,CS100
73,CS100ER
74,CS300
75,CS300ER
76,CS300XT
77,Q100
78,Q200
79,Q300
80,Q400
