,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
1332,7767,12JY,balloonport,Clinton Elks Lodge Balloonport,40.60419845581055,-74.9207992553711,37.0,,US,US-NJ,Pittstown,no,12JY,,12JY,,,
1401,7829,13M,balloonport,Aeronut Park Balloonport,42.60419845581055,-83.85859680175781,980.0,,US,US-MI,Howell,no,13M,,13M,,,
2885,9213,28NC,balloonport,Balloonport of Greensboro Balloonport,35.9557991027832,-79.81890106201172,800.0,,US,US-NC,Greensboro,no,28NC,,28NC,,,
3189,45530,2JY7,balloonport,Alba Vineyard Balloonport,40.615689,-75.164167,240.0,,US,US-NJ,Milford,no,2JY7,,2JY7,,,
3908,10140,35JY,balloonport,Cyber Density Balloon Spot Balloonport,40.43439865112305,-74.63469696044922,75.0,,US,US-NJ,Belle Mead,no,35JY,,35JY,,,
5541,11644,4OH6,balloonport,Wingfoot Lake Airship Operations Balloonport,41.009498596191406,-81.35790252685547,1164.0,,US,US-OH,Akron Suffield,no,4OH6,,4OH6,,,
5992,12057,55NJ,balloonport,Garden State Balloonport,40.633399963378906,-74.76629638671875,185.0,,US,US-NJ,Whitehouse,no,55NJ,,55NJ,,,
6152,46296,59ID,balloonport,Palisades Field,43.184833000000005,-111.049361,5624.0,,US,US-ID,Palisades,no,59ID,,59ID,,,
6187,12243,5A8,medium_airport,Aleknagik / New Airport,59.2826004028,-158.617996216,66.0,,US,US-AK,Aleknagik,yes,5A8,WKK,5A8,,http://en.wikipedia.org/wiki/Aleknagik_Airport,
6384,12432,5KS0,balloonport,Anthony Balloonport,37.09450149536133,-97.9614028930664,1250.0,,US,US-KS,Anthony,no,5KS0,,5KS0,,,
10435,3,AGGH,medium_airport,Honiara International Airport,-9.4280004501343,160.05499267578,28.0,OC,SB,SB-CT,Honiara,yes,AGGH,HIR,,,http://en.wikipedia.org/wiki/Honiara_International_Airport,Henderson Field
10440,4,AGGM,medium_airport,Munda Airport,-8.327969551086426,157.26300048828125,10.0,OC,SB,SB-WE,,yes,AGGM,MUA,,,http://en.wikipedia.org/wiki/Munda_Airport,
10462,312371,AHJ,medium_airport,Hongyuan Airport,32.53154,102.35224000000001,11600.0,AS,CN,CN-51,Aba,no,ZUHY,AHJ,,,http://en.wikipedia.org/wiki/Hongyuan_Airport,
10686,8,ANYN,medium_airport,Nauru International Airport,-0.547458,166.919006,22.0,OC,NR,NR-14,Yaren District,yes,ANYN,INU,,,http://en.wikipedia.org/wiki/Nauru_International_Airport,ANAU
10890,38811,AR-0136,balloonport,El Manantial Airport,-35.1943,-58.3594,49.0,SA,AR,AR-B,Coronel Brandsen,no,,,EML,,,
11618,327150,AU-0121,medium_airport,YKCY,-26.971196999999997,152.566855,400.0,OC,AU,AU-QLD,Kilcoy,no,,,,,,
11648,314558,AXF,medium_airport,Alxa Left Banner Bayanhot Airport,38.74831,105.58858000000001,4560.0,AS,CN,CN-15,Bayanhot,yes,ZBAL,AXF,,,http://en.wikipedia.org/wiki/Alxa_Left_Banner_Bayanhot_Airport,
11652,53,AYBK,medium_airport,Buka Airport,-5.422319889068604,154.67300415039062,11.0,OC,PG,PG-NSB,Buka Island,yes,AYBK,BUA,,,http://en.wikipedia.org/wiki/Buka_Airport,
11659,54,AYCH,medium_airport,Chimbu Airport,-6.024290084838867,144.9709930419922,4974.0,OC,PG,PG-CPK,Kundiawa,yes,AYCH,CMU,,,http://en.wikipedia.org/wiki/Chimbu_Airport,
11668,55,AYDU,medium_airport,Daru Airport,-9.086759567260001,143.207992554,20.0,OC,PG,PG-WPD,Daru,yes,AYDU,DAU,,,http://en.wikipedia.org/wiki/Daru_Airport,
11691,56,AYGA,medium_airport,Goroka Airport,-6.0816898345900015,145.391998291,5282.0,OC,PG,PG-EHG,Goronka,yes,AYGA,GKA,,,http://en.wikipedia.org/wiki/Goroka_Airport,
11698,57,AYGN,medium_airport,Gurney Airport,-10.311499595599999,150.333999634,88.0,OC,PG,PG-MBA,Gurney,yes,AYGN,GUR,,,http://en.wikipedia.org/wiki/Gurney_Airport,
11702,58,AYGR,medium_airport,Girua Airport,-8.80453968048,148.309005737,311.0,OC,PG,PG-NPP,Popondetta,yes,AYGR,PNP,,,http://en.wikipedia.org/wiki/Girua_Airport,
11711,59,AYHK,medium_airport,Kimbe Airport,-5.462170124053955,150.40499877929688,66.0,OC,PG,PG-WBK,Hoskins,yes,AYHK,HKN,,,http://en.wikipedia.org/wiki/Hoskins_Airport,
11739,60,AYKM,medium_airport,Kerema Airport,-7.96361017227,145.770996094,10.0,OC,PG,PG-GPK,Kerema,yes,AYKM,KMA,,,http://en.wikipedia.org/wiki/Kerema_Airport,
11744,61,AYKV,medium_airport,Kavieng Airport,-2.57940006256,150.807998657,7.0,OC,PG,PG-NIK,Kavieng,yes,AYKV,KVG,,,http://en.wikipedia.org/wiki/Kavieng_Airport,
11761,62,AYMD,medium_airport,Madang Airport,-5.20707988739,145.789001465,20.0,OC,PG,PG-MPM,Madang,yes,AYMD,MAG,,,http://en.wikipedia.org/wiki/Madang_Airport,
11762,63,AYMH,medium_airport,Mount Hagen Kagamuga Airport,-5.826789855957031,144.29600524902344,5388.0,OC,PG,PG-WHM,Mount Hagen,yes,AYMH,HGU,,,http://en.wikipedia.org/wiki/Mount_Hagen_Airport,
11765,64,AYMN,medium_airport,Mendi Airport,-6.14774,143.656998,5680.0,OC,PG,PG-SHM,Mendi,yes,AYMN,MDU,,,http://en.wikipedia.org/wiki/Mendi_Airport,
11766,65,AYMO,medium_airport,Momote Airport,-2.06189,147.423996,12.0,OC,PG,PG-MRL,Manus Island,yes,AYMO,MAS,,,http://en.wikipedia.org/wiki/Momote_Airport,
11778,66,AYNZ,medium_airport,Nadzab Airport,-6.569803,146.725977,239.0,OC,PG,PG-MPL,Lae,yes,AYNZ,LAE,,,http://en.wikipedia.org/wiki/Lae_Nadzab_Airport,MFO
11800,67,AYPY,large_airport,Port Moresby Jacksons International Airport,-9.443380355834961,147.22000122070312,146.0,OC,PG,PG-NCD,Port Moresby,yes,AYPY,POM,,,http://en.wikipedia.org/wiki/Jacksons_International_Airport,
11839,68,AYTK,medium_airport,Tokua Airport,-4.34045982361,152.380004883,32.0,OC,PG,PG-EBR,Tokua,yes,AYTK,RAB,,,http://en.wikipedia.org/wiki/Rabaul_Airport,
11869,69,AYVN,medium_airport,Vanimo Airport,-2.6926,141.3028,10.0,OC,PG,PG-SAN,Vanimo,yes,AYVN,VAI,,,http://en.wikipedia.org/wiki/Vanimo_Airport,
11873,70,AYWD,medium_airport,Wapenamanda Airport,-5.64330005645752,143.89500427246094,5889.0,OC,PG,PG-EPW,,yes,AYWD,WBM,,,http://en.wikipedia.org/wiki/Wapenamanda_Airport,
11875,71,AYWK,medium_airport,Wewak International Airport,-3.5838301181800003,143.66900634799998,19.0,OC,PG,PG-ESW,Wewak,yes,AYWK,WWK,,,http://en.wikipedia.org/wiki/Wewak_International_Airport,
11911,44941,AZ-0001,medium_airport,Zabrat Airport,40.4955422161,49.9768066406,36.0,AS,AZ,AZ-BA,Baku,no,UBTT,ZXT,,,https://en.wikipedia.org/wiki/Zabrat_Airport,
