,data_clean
0,excellent flight way adria airway manchester ljubljana
1,staff friendly unobtrusive
2,leg room far better economy flight seat comfy plenty storage space
3,flight time quick efficient boarding disembark smooth landing
4,pleasant experience
5,impressed pleasant attitude responsive service warmth cabin crew
6,ground service good food good
7,hand plane start age seat wear
8,good flight nice offer hot meal arn ath leg complimentary drink round nice spacious seat legroom arn ath leg ath jtk jtk ath leg use a321 cramp max tight config legroom short flight small snack drink think time serve short flight
9,ath arn great legroom serve hot breakfast
10,pay great value far better compete airline plane new clean
11,drawback entertainment provide flight movie
12,fly athen rhode week ago fantastic airline short flight sweet soft drink plenty leg room
13,staff excellent customer service orient meal good plane new
14,seat comfortable lounge athen smoking area pack
15,professional service
16,delay hour crete athen receive voucher free domestic flight
17,istanbul athen good flight courteous flight attendant fly past year
18,excellent service
19,ath lhr a321 great nice inflight entertainment
20,food average crew professional
21,good experience
22,check boarding quick efficient
23,airplane clean cabin crew friendly helpful
24,good variety food sell airplane
25,pleasant experience fly aer lingus
26,business class par airline far bad service great irish hospitality good
27,flight jfk dub good food nice entertainment lacking compare carrier old choice big selection
28,return trip cabin freeze delay hour food wasn good way entertainment
29,trip verify aeroflot flight pleasant surprise
30,check early need rush departure time service fine smiling grand good snack min flight chocolate include
31,verify review aeroflot base russia bad weather winter uncommon pasenger endure hour delay overnight moscow airport weather condition unacceptable
32,bad way deal delay passenger offer 7eur voucher miss correspondance
33,overall poor quality inflight entertainment london moscow
34,hour delay auckland buenos aire hour delay buenos aire auckland
35,food good seat uncomfortable rubbish
36,staff friendly little customer service skill
37,day delay buenos aire madrid
38,aircraft poor condition airline personnel helpful
39,win passenger explanation delay tell file complaint online
40,food basic acceptable
41,astonish rudeness cabin crew service greet aircraft
42,crew ignore need glass water seat break film music hour flight
43,buenos aire madrid flight delay hour
44,day later fly rome bueno aire flight delay hour
45,general good service option flight mexico
46,staff service friendly entertainment service fine wifi onboard aeromexico flight
47,bad food beverage service
48,mexico city sao paulo aeromexico economy class flight time
49,airplane old small screen entertainment
50,breakfast serve poor
51,movie offer new seat confortable
52,excellent aeromexico flight mexico bueno aire punctual
53,outstanding service onboard carefully prepare food excellent quality quantity
54,great service houston san pedro sula hondura
55,great staff friendly helpful employee easy navigate terminal mexico city terminal houston intercontinental airport
56,paris orly lisbon new airline seat leg room average travel baggage baggage allowance include fare aigle azur worth consider
57,cabin crew quick run cabin pay drink cart duty free cart promptly disappear curtain rest flight
58,airline appear unsure identity provide baggage allowance service airline flight meal time dinner food snack service provide loco food available purchase hungry
59,tun alg new 737 800ng business class good trip delay good meat champagne
60,time algier clean cabin large seat big space like air france alitalia business class
61,option algeria travel twice month air algerie tell lot thing need company instance personnel need worthy training learn treat customer improve poor service quality
62,flight good price ticket low aed 900
63,money pay service good problem like food provide buy onboard plane
64,personal inflight entertainment poor cabin crew service good
65,recommend want cheap ticket good service entertainment onboard
66,excellent recent flight great selection inflight service
67,friendly attentive polite staff
68,flight time comfortable good connection modern aircraft great flying experience
69,noumea sydney air austral staff friendly good customer service
70,issue size seat economy tight fit
71,
72,good entertainment selection long flight good food airline food
73,trip verify london toronto flight delay bathroom sink work cause miss time slot departure eventually miss connection
74,trip verify excellent flight montréal tokyo narita
75,seat comfort minimal seat pitch flight perfect
76,professional flight attendant attentive friendly good inflight entertainment food
77,flight time
78,flight leave québec time arrive time ottawa
79,flight attendant board friendly offer professional service
80,seat confortable plane clean
81,initially reluctant fly air canada bad press service quality big thumb overall service friendliness crew
82,food quality poor bad airline
83,air canada know poor food poor entertainment option television program limited change regularly seat good economy excellent flight pod configuration business
84,hnd yyz flight hour long pretty important fly good airline
85,rude unfriendly service extremely bad food skip second meal
86,husband outlet wasn working flight attendant answer polite request help luggage space seat
87,yyc nrt lucky upgrade near flight enjoy premium perk business class offer seat comfortable mood light ease jet lag food spectacular
88,flight hour delay
89,delay dublin result miss connect flight staff flight assure connect flight delay slightly allow passenger reach flight
90,currently wait flight houston staff offer reason delay
91,fine vancouver return big delay
92,hour change gate plane hour delay
93,flight seat small knee hit seat
94,
95,fly rouge barbado april 18th absolutely bad flight
96,usually fly air canada fly rouge cramp like sardine entertainment bring laptop tablet word air canada acceptable
97,air china flight lax beijing pretty comfortable service efficient flight time cabin comfortable
98,late departure usual congestion chinese airspace
99,new aircraft comfortable
100,efficient friendly crew
101,fly jfk pek pvg rude staff jfk food plane good seat friendly staff chinese airport
102,shanghai pudong chengdu class a320 flight delay minute arrive time cabin crew friendly polite good inflight service seat comfortable manage sleep
103,5hrs food awful quality far economy class food
104,trip verify terrible service sneaky charge obvious baggage include long haul flight arrive airport charge 100 add way
105,plenty notice special meal day actually offer vegetarian meal
106,vegan meal order eat bad vegan food general nice boil vegetable fruit salad terrible
107,flight entertainment pretty limited
108,inflight service extremely poor long haul flight madrid miami inflight entertainment virtually non existent
109,seat uncomfortable little padding leave
110,flight time rome food good plane decent
111,crew helpful polite
112,trip verify short pleasant flight zurich paris cdg luckily affect current industrial dispute
113,pleasant staff hassle good hand luggage allowance flight time
114,aircraft clean nice glass wine fly air france klm
115,pvg cdg a380 flight delay hour traffic control shanghai pudong airport
