,Sentence
0,excellent flights ways adria airways manchester ljubljana
2,leg room far better economy flights seats comfy plenty storage space
3,flights time quick efficient boarding disembarking smooth take offs landings
4,pleasant experience
5,always impressed pleasant attitude responsive service warmth cabin crew
6,ground service good food good side
7,hand planes starting show age sometimes seats really worn
8,good flight nice offered hot meal arnath leg complimentary drinks two rounds nice rather spacious seats legroom arnath leg athjtk jtkath leg used a321 cramped max tight config almost legroom short flight ok small snack drinks dont think would time serve short flight
9,atharn great legroom also served hot breakfast
10,pay great value far better many competing airlines planes also new clean
11,drawback entertainment provided 3 hr flight show movie
12,flew athens rhodes 2 weeks ago fantastic airline short flight sweets soft drinks plenty leg room
13,staff excellent customer service oriented meals good planes new
14,seats comfortable lounge athens smoking area packed
15,professional service
16,delay 1 hour crete athens however received voucher free domestic flight
17,istanbul athens best flight courteous flight attendants flown past 20 years
18,keep excellent service
19,athlhr a321 great nice inflight entertainment
20,food average crew professional
21,good experience
22,checkin boarding quick efficient
23,airplane clean cabin crew friendly helpful
24,good variety food sold airplane
25,pleasant experience flying aer lingus
26,although business class par airlines far bad service great irish hospitality best
27,flight jfk dub good food nice however entertainment lacking compared carriers old choices big selection
28,return trip cabin freezing delayed hour food wasnt good way back entertainment
29,✅ trip verified another aeroflot flight another pleasant surprise
30,check done early need rush departure time service fine smiling would grand get good snack 90 min flight chocolate included
31,✅ verified review aeroflot based russia bad weather winter uncommon pasengers endure 12 hour delay overnight moscow airport due weather conditions unacceptable
32,worst way dealing delayed passengers offering 7eur voucher making miss correspondance
33,overall poor quality inflight entertainment london moscow
34,6 hours delay auckland buenos aires 5 hours delay buenos aires auckland
35,food good seats uncomfortable tv system rubbish
36,staff friendly little customer service skills
37,three days delay buenos airesmadrid
38,aircraft poor condition airline personnel helpful
39,wont even give passengers explanation delay told us file complaints online
40,food basic acceptable
41,astonished rudeness cabin crew service greeted aircraft
42,crew ignored need glass water seat broken film music 4 hour flight
43,buenos aires madrid flight delayed 9 hours
44,15 days later flew rome buenos aires flight delayed 10 hours
45,general good service dont much options flights mexico
46,staff service friendly entertainment service fine dont wifi onboard aeromexico flights
47,worst food beverage service
48,mexico city sao paulo aeromexico economy class flight time
49,airplane quite old small screens entertainment
50,breakfast served poor
51,movies offered new seat confortable
52,excellent aeromexico flight mexico buenos aires punctual
53,outstanding service onboard carefully prepared food excellent quality quantity
54,great service houston san pedro sula honduras
55,great staff friendly helpful employees easy navigate terminal 2 mexico city terminals ef houston intercontinental airport
56,paris orly lisbon new airline seat leg room average traveling baggage 20kg baggage allowances included fare makes aigle azur worth considering
57,cabin crew quick run cabin paid drinks cart duty free cart promptly disappeared behind curtain rest flight
58,airline appears unsure identity although provide baggage allowance full service airline flight meal time dinner food snack service provided loco food available purchase either went hungry
59,tunalg new 737800ng business class good trip delay good meat champagne take
60,time algiers clean cabin large seat big space like air france alitalia business class
61,option algeria travel twice month air algerie ’ tell lots things need done within company instance personnel need worthy training learn treat customers improve poor service quality
62,flight good price ticket low aed 900
63,money paid service really good problems like food provided buy onboard plane
64,personal tv inflight entertainment poor cabin crew service good
65,recommend want cheap ticket good service entertainment onboard
66,excellent recent flights great selection inflight service
67,friendly attentive polite staff
68,flights time comfortable good connections modern aircraft great flying experience
69,noumea sydney found air austral staff friendly good customer service
70,issue size seats economy tight fit
72,good entertainment selection long flight good food airline food
73,✅ trip verified london toronto flight delayed first bathroom sinks working causing us miss time slot departure eventually made us miss connection
74,✅ trip verified excellent flight montréal tokyonarita
75,except seat comfort minimal seat pitch flight perfect
76,professional flight attendants attentive friendly good inflight entertainment system food
77,flight time
78,flight left québec time arrived time ottawa
79,two flight attendants board friendly offer professional service
80,seat confortable plane clean
81,initially reluctant fly air canada bad press service quality give big thumbs overall service friendliness crew
82,food quality poor worse airlines
83,air canada known poor food poor entertainment options television programs limited dont change regularly seats good economy excellent flight pod configuration business
84,hndyyz flight 12 hours long pretty important fly good airline
85,however rude unfriendly service extremely bad food skipped second meal
86,husbands outlet wasnt working flight attendant answered polite request help luggage space seats
87,yycnrt lucky get upgraded near empty flight much enjoyed premium perks business class ac offer seats comfortable mood lighting eased jet lag food spectacular
88,flights 2 hour delay
89,first delay dublin resulted missing connecting flight staff flight assured us connecting flights would delayed slightly allowing passengers reach next flight
90,currently waiting flight houston staff yet offer reason delayed
91,fine going vancouver return big delay
92,3 hours changed gate got another plane almost 4 hour delay
93,flight ok seats seem even smaller knees hit seat front
95,flew rouge barbados april 18th absolutely worst flight
96,usually fly air canada never fly rouge againyou cramped like sardines entertainment system unless bring laptoptablet word air canada acceptable
97,air china flight lax beijing pretty comfortable service efficient flights time cabin comfortable
98,late departure due usual congestion chinese airspace
99,new aircraft comfortable
100,efficient friendly crew
101,flew jfkpekpvg rude staff jfk enough food planes good seats friendly staff chinese airports
102,shanghai pudongchengdu first class a320 flight delayed 15 minutes still arrived time cabin crew friendly polite good inflight service seat comfortable manage sleep 1
103,5hrs food awful quality far cxjlnhsq economy class food
104,✅ trip verified terrible service sneaky charges ’ make obvious ’ baggage included long haul flight arrive airport charge £100 add one way
105,gave plenty notice special meal 2 days enough ’ actually offer vegetarian meals
106,vegan meal order eat worst vegan food general nice boiled vegetables fruit salad terrible
107,flight entertainment pretty limited
108,inflight service extremely poor long haul flight madrid miami inflight entertainment virtually non existent
109,seats uncomfortable little padding left
110,flight time rome food good plane decent
111,crew helpful polite
112,✅ trip verified short pleasant flight zurich paris cdg luckily affected current industrial dispute
113,pleasant staff hassles good hand luggage allowance flight time
114,aircraft clean nice get glass wine fly air franceklm
115,pvgcdg a380 flight delayed 1 hour due traffic control shanghai pudong airport
116,economy class seat hard uncomfortable food awful cabin crew friendly bit disappeared meal service cant believe served beverage entire 12 hrs flight
118,despite bad reviews airfrance still airline world offers french champagne cheap bubbly aperitif cognac meal airline
119,recently flew cdg kuala lumpur flights great service minded friendly crew
120,glad flights full cramped 10 across seats boeing 772 didnt feel bad
121,✅ verified review flew air india frm bhubaneswar varanasi wonderful flight
122,crew nice took good care passengers
123,aircraft interiors clean well maintained
124,flight time surprising see change overall air india experience
125,verified presently waiting christchurch airport air new zealand take auckland late second time two flights achieved serious delays
126,stopped taking jetstar always late believe new zealand new jetstar air new zealand time stop talking started time
127,✅ verified review flew auckland christchurch air new zealand plane clean new seats comfortable crew professional
128,service excellent short flight complimentary tea coffee water provided along light snack lollies
129,flew auckland heathrow 23022015 pe space seats great seats space one recline space
130,entertainment good staff auckland la brilliant could enough always making sure everything needed wish could say la heathrow absent cabin large amount time real interface passengers
131,ordered coffee early hours delivered promptly still cup 2 hours later staff absent cabin good service
132,staff heathrow leg could learn lot auckland leg
133,nz288 shanghai auckland b777200 business class seats 3a 3b good comfort sleeping case flat bed seating comfort good
134,staff friendly professional
135,catering really positive surprise perhaps case shanghai route hard oriented chinese food new zealand
136,however youre booked 777 ok flight operated 767300 forget
137,flight back auckland shanghai 12 hours really poor narrow recliner seats old 767´s
138,alicante madrid air nostrum good short flight
139,checked days line got emergency exit seats cost
140,✅ verified review excellent flight air serbia new york belgrade outstanding cabin crew
141,great meals great services offered smiles
142,airplane clean seats comfortable overnight flight
143,great service sells airline passenger surely looking forward fly air serbia
144,✅ verified review air serbia ground staff belgrade airport extremely rude arrogant dont think understand basic customer service
145,plane belgrade abu dhabi a319 although flight 5 hours kind inflight entertainment screen showing flight path
146,positive side seats comfortable ample leg space
147,travelled dusbeg excellent experience totally refurbished airlplane brand new a319
148,hot meal friendly staff still bugs iron
149,flew vancouver gatwick return seats tiny cramped almost padding food nearly inedible
150,crew however great friendly
151,really would encourage airline upgrade seats little something food
152,flight time old a310 seating cramped avod
153,food quite poor service crew ok nothing
154,price ticket cheap direct flight yul lis makes service bearable value
155,lgwyyz yyzlgw staff rude especially boarding gate
156,flight full cramped staff came round meal times offer drinks drinks offered food terrible
157,satisfied service fly
158,✅ verified review enjoyed flight aboard air zimbabwe harare johannesburg crew friendly service excellent
159,arrived ahead schedule checkin fast smooth seats comfortable
160,✅ trip verified bangkok hat yai it´s cheap low cost airline say ground staff cabin crew every time really polite friendly
161,course many amenities complimentary services price paid thing improved legroom space really narrow ok two hours flight
162,✅ verified review slightly annoyed airasia rescheduled departure time hour later got us kuala lumpur made connection plenty time
163,made wait massive que hand luggage documents checked arrived desk told gone straight security far impressed onboard crew great per usual
164,taken 2 trips phuket last 6 months flying airasia gold coast found excellent airline always left time arrived advertised arrival time cabin crew great food bad either flight entertainment ok
165,shortest travel times airlines fly phuket best prices
166,flew kuala lumpur vientiane back found air asia good ground staff cabin crew excellent aircraft one cleanest travelled cost range drinks food also good
167,outbound flight departed time return actually departed little early
168,keeping mind low price paid tickets two half hour flight air asia provided excellent value money would certainly use
169,night flight dmkkul last week flight delayed 45 minutes
170,week friends took flight sin cgk kul flights delayed 45 40 minutes
171,pay midnight charges return trip airports mention normal hassle got delayed
172,✅ trip verified boracay manila 45 mins flight zero info delays screen let people know announcements 4hr delay plus stuck plane arrival
173,found service friendly enough little distant especially considering many seemed flight
174,food great palatable probably best could say
175,flights left mostly time although held 1 hr kuala lumpur waiting passenger get immigration
176,airasia zest lowcost airline weak ground service delayed flight misleading information flight depart
177,aircraft look nice entertainment system
178,cheap flights costs sometimes hidden flight canceled seriously delayed cheap ticket help
179,regular traveller throughout pacific 30 years found aircalin services especially good
180,check service excellent friendly staff helpful dont speak french
181,menus always surprise generous meals drinks presented immaculate style
182,new planes first class comparison qantas 767 sunday afternoon flight noumea sydney old planes 200 series grumpy staff generally bring back earth finesse smack face
183,✅ trip verified another great flight alaska airlines kansas city salt lake city via seattle return
184,flights time service grea premium economy upgrade comfortable seats
185,gogo inflight entertainment wonderful longer flights
186,spent time talking cabin crew friendly helpful
187,flying alaska 10 years never bad flight
188,newark seattle alaska airlines flights perfect
189,staff could enough us reminded old days flying treated respect kindness
190,food good plane immaculate
191,seats bit narrow sat bul head leg room wonderful
192,pleasant flight great staff always try fly alaska however impressed food product
193,first class service great food good
194,short one half hour flight seats comfortable friendly staff check disembarked given free snack drinks
195,milan rome crew friendly attentive
196,return flight delayed 20 minutes crew nice offered snack ways drink
197,good experience low price
198,excellent flight full assistance great staff
199,simple snack dolce salato plus drink finally good flight
200,flights arrived ahead time
201,alitalia heathrow rome worst flying experience december 22 23 2013
202,horrible service information bumped
203,one charge one taking care passengers 24 hour delay measly 5 pound voucher
204,could believe horrible flight either grumpy staff terrible customer service fly alitalia
205,flew business class rome abu dhabi really surprised level service new magnifica class offers comfortable lieflat seats complete privacy
207,overall excellent flight
208,✅ trip verified excellent experience flying newburgh new york sanford florida ways
209,’ expect frills budget airline staff friendly helpful flights time ’ problems
210,recently flew greenville clearwater legs plane left three hours late weather factor
211,stepping greenville inquired people waiting fly long waiting said 4 hours
212,flight cancelled december 31st reason given notification sent
213,jan 1st rescheduled flight delayed 3 hours reason given
214,daughter used airline 2x due convenience st pete bangor tired rude attendants every flight shes delays every flight shes ever
215,✅ verified review flight dallasfort worth london heathrow delayed 3 hours time explanation apology given
216,eventually boarded staff extremely rude condescending
217,inflight entertainment poor quality screens something would expect 1980s selection movies awful
218,inflight food inedible
219,seats uncomfortable dirty
220,overall worst airline travelled fly
